year,race,name,P1,P2,P3,rating
2016,1,Australian Grand Prix,Rosberg,Hamilton,Vettel,7.757
2016,10,British Grand Prix,Hamilton,Rosberg,Verstappen,6.47
2016,11,Hungarian Grand Prix,Hamilton,Rosberg,Ricciardo,5.11
2016,12,German Grand Prix,Hamilton,Ricciardo,Verstappen,5.9
2016,13,Belgian Grand Prix,Rosberg,Ricciardo,Hamilton,7.21
2016,14,Italian Grand Prix,Rosberg,Hamilton,Vettel,4.96
2016,15,Singapore Grand Prix,Rosberg,Ricciardo,Hamilton,7.17
2016,16,Malaysian Grand Prix,Ricciardo,Verstappen,Rosberg,8.05
2016,18,United States Grand Prix,Hamilton,Rosberg,Ricciardo,6.09
2016,19,Mexican Grand Prix,Hamilton,Rosberg,Verstappen,5.91
2016,2,Bahrain Grand Prix,Rosberg,Raikkonen,Hamilton,7.382
2016,20,Brazilian Grand Prix,Hamilton,Rosberg,Verstappen,8.2
2016,21,Abu Dhabi Grand Prix,Hamilton,Rosberg,Vettel,7.6
2016,3,Chinese Grand Prix,Rosberg,Vettel,Kvyat,7.853
2016,4,Russian Grand Prix,Rosberg,Hamilton,Raikkonen,5.32
2016,5,Spanish Grand Prix,Verstappen,Raikkonen,Vettel,8.72
2016,6,Monaco Grand Prix,Hamilton,Ricciardo,Perez,7.81
2016,7,Canadian Grand Prix,Hamilton,Vettel,Bottas,6.61
2016,8,European Grand Prix,Rosberg,Vettel,Perez,4.71
2016,9,Austrian Grand Prix,Hamilton,Verstappen,Raikkonen,8.02
2017,1,Australian Grand Prix,Vettel,Hamilton,Bottas,6.47
2017,10,British Grand Prix,Hamilton,Bottas,Raikkonen,6.51
2017,11,Hungarian Grand Prix,Vettel,Raikkonen,Bottas,5.9
2017,12,Belgian Grand Prix,Hamilton,Vettel,Ricciardo,7.25
2017,13,Italian Grand Prix,Hamilton,Bottas,Vettel,5.93
2017,14,Singapore Grand Prix,Hamilton,Ricciardo,Bottas,6.4
2017,15,Malaysian Grand Prix,Verstappen,Hamilton,Ricciardo,7.4
2017,16,Japanese Grand Prix,Hamilton,Verstappen,Ricciardo,6.1
2017,17,United States Grand Prix,Hamilton,Vettel,Raikkonen,7.7
2017,18,Mexican Grand Prix,Verstappen,Bottas,Raikkonen,6.8
2017,19,Brazilian Grand Prix,Vettel,Bottas,Raikkonen,6.74
2017,2,Chinese Grand Prix,Hamilton,Vettel,Verstappen,7.5
2017,20,Abu Dhabi Grand Prix,Bottas,Hamilton,Vettel,3.76
2017,3,Bahrain Grand Prix,Vettel,Hamilton,Bottas,7.9
2017,4,Russian Grand Prix,Bottas,Vettel,Raikkonen,4.9
2017,5,Spanish Grand Prix,Hamilton,Vettel,Ricciardo,7.85
2017,6,Monaco Grand Prix,Vettel,Raikkonen,Ricciardo,4.93
2017,7,Canadian Grand Prix,Hamilton,Bottas,Ricciardo,7.63
2017,8,Azerbaijan Grand Prix,Ricciardo,Bottas,Stroll,8.8
2017,9,Austrian Grand Prix,Bottas,Vettel,Ricciardo,5.85
2018,1,Australian Grand Prix,Vettel,Hamilton,Raikkonen,6.1
2018,10,British Grand Prix,Vettel,Hamilton,Raikkonen,8.69
2018,11,German Grand Prix,Hamilton,Bottas,Raikkonen,8.12
2018,12,Hungarian Grand Prix,Hamilton,Vettel,Raikkonen,6.11
2018,13,Belgian Grand Prix,Vettel,Hamilton,Verstappen,5.29
2018,2,Bahrain Grand Prix,Vettel,Bottas,Hamilton,8.36
2018,3,Chinese Grand Prix,Ricciardo,Bottas,Raikkonen,8.59
2018,4,Azerbaijan Grand Prix,Hamilton,Raikkonen,Perez,8.57
2018,5,Spanish Grand Prix,Hamilton,Bottas,Verstappen,4.85
2018,6,Monaco Grand Prix,Ricciardo,Vettel,Hamilton,5.23
2018,7,Canadian Grand Prix,Vettel,Bottas,Verstappen,4.24
2018,8,French Grand Prix,Hamilton,Verstappen,Raikkonen,6.47
2018,9,Austrian Grand Prix,Verstappen,Raikkonen,Vettel,8.01
